open;high;low;close;volume
2021-07-27 09:31:00.044070;125865.0;125955.0;125465.0;125495.0;902344
2021-07-27 10:04:00.249430;125495.0;125720.0;125440.0;125690.0;1026468
2021-07-27 10:19:00.118570;125690.0;125865.0;125215.0;125265.0;1019579
2021-07-27 10:36:00.483470;125265.0;125320.0;125040.0;125210.0;1066846
2021-07-27 10:59:00.038800;125210.0;125420.0;125040.0;125220.0;1072265
2021-07-27 11:18:00.215200;125220.0;125370.0;124940.0;125035.0;1108103
2021-07-27 11:43:00.273670;125035.0;125260.0;124925.0;125120.0;1102418
2021-07-27 12:08:00.323470;125120.0;125350.0;124830.0;125215.0;1121670
2021-07-27 12:35:00.043030;125215.0;125325.0;124490.0;124565.0;1211738
2021-07-27 13:10:00.336570;124565.0;124615.0;124390.0;124445.0;1227538
2021-07-27 13:53:00.184970;124445.0;124455.0;124235.0;124350.0;1197996
2021-07-27 14:27:00.497130;124350.0;124355.0;123945.0;123980.0;1200638
2021-07-27 15:10:00.508270;123985.0;124250.0;123945.0;124235.0;1249293
2021-07-27 15:55:00.037530;124235.0;124525.0;124200.0;124520.0;1310974
2021-07-27 16:47:00.175970;124520.0;124695.0;124485.0;124640.0;1297873
2021-07-26 09:02:00.143970;124645.0;125250.0;124640.0;125235.0;1193478
2021-07-26 09:34:00.252300;125235.0;125370.0;125055.0;125190.0;883212
2021-07-26 10:06:00.235170;125195.0;125485.0;125100.0;125255.0;1032073
2021-07-26 10:30:00.150770;125255.0;125700.0;125245.0;125700.0;1053682
2021-07-26 10:48:00.521170;125700.0;126250.0;125650.0;126190.0;1163621
2021-07-26 11:20:00.406630;126190.0;126350.0;126080.0;126135.0;1170149
2021-07-26 11:53:00.061130;126135.0;126390.0;126125.0;126290.0;1170725
2021-07-26 12:34:00.137370;126290.0;126570.0;126210.0;126475.0;1223791
2021-07-26 13:28:00.581670;126470.0;126580.0;126230.0;126385.0;1246304
2021-07-26 14:19:00.211870;126385.0;126470.0;126090.0;126095.0;1225360
2021-07-26 15:04:00.392800;126090.0;126390.0;126080.0;126165.0;1260511
2021-07-26 15:54:00.273270;126165.0;126455.0;126140.0;126155.0;1363125
2021-07-26 16:36:00.463070;126155.0;126195.0;125940.0;126180.0;1321694
2021-07-30 09:01:00.168570;126185.0;126325.0;124740.0;124885.0;1193589
2021-07-30 09:29:00.284630;124885.0;124930.0;124360.0;124750.0;818739
2021-07-30 09:50:00.242070;124750.0;125125.0;124495.0;124610.0;982514
2021-07-30 10:10:00.282800;124610.0;124920.0;124380.0;124550.0;1061853
2021-07-30 10:31:00.270900;124550.0;125025.0;124505.0;124745.0;1092765
2021-07-30 10:49:00.295870;124745.0;125245.0;124705.0;125125.0;1159766
2021-07-30 11:11:00.031530;125125.0;125215.0;124610.0;124660.0;1137753
2021-07-30 11:30:00.215330;124665.0;124790.0;124115.0;124120.0;1139121
2021-07-30 11:58:00.063230;124120.0;124230.0;123950.0;124095.0;1177699
2021-07-30 12:27:00.195300;124095.0;124145.0;123745.0;124020.0;1107331
2021-07-30 13:09:00.432170;124020.0;124085.0;123715.0;124020.0;1145480
2021-07-30 13:45:00.362430;124020.0;124090.0;123295.0;123365.0;1176797
2021-07-30 14:20:00.484470;123360.0;123490.0;122935.0;122960.0;1252936
2021-07-30 14:51:00.000900;122960.0;123190.0;122765.0;122920.0;1275494
2021-07-30 15:21:00.471170;122920.0;122955.0;122370.0;122415.0;1251282
2021-07-30 15:56:00.119400;122415.0;122670.0;122175.0;122640.0;1349898
2021-07-30 16:38:00.439170;122640.0;122695.0;122260.0;122310.0;1464602
2021-07-30 17:15:00.143030;122310.0;122310.0;121800.0;121985.0;1408202
2021-07-19 09:13:00.254600;121985.0;124900.0;121910.0;124705.0;1004768
2021-07-19 09:30:00.174270;124700.0;124990.0;124335.0;124345.0;835909
2021-07-19 09:52:00.101200;124345.0;124615.0;124250.0;124610.0;871051
2021-07-19 10:11:00.049870;124610.0;124750.0;124375.0;124665.0;930998
2021-07-19 10:31:00.378200;124665.0;124835.0;124415.0;124800.0;945905
2021-07-19 10:44:00.121730;124805.0;124970.0;124445.0;124970.0;959673
2021-07-19 10:57:00.372470;124970.0;125080.0;124530.0;124670.0;989264
2021-07-19 11:10:00.299130;124670.0;124875.0;124210.0;124280.0;982889
2021-07-19 11:28:00.385370;124280.0;124490.0;124060.0;124170.0;1006763
2021-07-19 11:44:00.378570;124170.0;124695.0;123985.0;124630.0;1019240
2021-07-19 12:04:00.017270;124630.0;124670.0;123980.0;124320.0;1044335
2021-07-19 12:29:00.255670;124320.0;124625.0;124145.0;124285.0;1060945
2021-07-19 12:58:00.310000;124285.0;124735.0;124170.0;124700.0;1060271
2021-07-19 13:28:00.533430;124700.0;124705.0;124205.0;124305.0;1026398
2021-07-19 13:54:00.490770;124300.0;124305.0;123800.0;123955.0;1091348
2021-07-19 14:23:00.161670;123955.0;124185.0;123845.0;123955.0;1087651
2021-07-19 14:49:00.184330;123955.0;124085.0;123710.0;123875.0;1142857
2021-07-19 15:15:00.381070;123875.0;124150.0;123660.0;124075.0;1081383
2021-07-19 15:49:00.196800;124075.0;124280.0;123845.0;124035.0;1163005
2021-07-19 16:22:00.466000;124030.0;124265.0;123940.0;124025.0;1180715
2021-07-19 16:56:00.139930;124025.0;124540.0;124000.0;124540.0;1176635
2021-07-19 17:52:00.321270;124540.0;125190.0;124530.0;125075.0;1127207
2021-07-21 09:20:00.418230;125075.0;126010.0;125040.0;125955.0;856025
2021-07-21 09:44:00.168500;125955.0;126130.0;125805.0;125810.0;962690
2021-07-21 10:06:00.473900;125810.0;125920.0;125625.0;125695.0;1025398
2021-07-21 10:24:00.279400;125695.0;126125.0;125625.0;126105.0;1026035
2021-07-21 10:38:00.046230;126110.0;126230.0;125815.0;126075.0;1000314
2021-07-21 10:56:00.016530;126075.0;126490.0;125865.0;126440.0;1026002
2021-07-21 11:19:00.207230;126440.0;126480.0;125965.0;126005.0;1044452
2021-07-21 11:39:00.219600;126005.0;126050.0;125580.0;125815.0;1095887
2021-07-21 12:01:00.025630;125815.0;126020.0;125550.0;126015.0;1042100
2021-07-21 12:25:00.519130;126015.0;126200.0;125750.0;126035.0;1013871
2021-07-21 12:54:00.039170;126035.0;126130.0;125720.0;126130.0;1059225
2021-07-21 13:37:00.050900;126130.0;126300.0;126005.0;126025.0;1086265
2021-07-21 14:18:00.323770;126025.0;126320.0;125955.0;126305.0;1083871
2021-07-21 15:02:00.277600;126305.0;126340.0;126000.0;126190.0;1087415
2021-07-21 15:45:00.336470;126195.0;126265.0;125730.0;125825.0;1197036
2021-07-21 16:19:00.509030;125825.0;126500.0;125800.0;126305.0;1235118
2021-07-21 17:13:00.591570;126300.0;126440.0;126155.0;126385.0;1197813
2021-07-08 09:11:00.217730;126390.0;126510.0;124955.0;125005.0;944893
2021-07-08 09:31:00.464100;125000.0;125475.0;124925.0;125335.0;918828
2021-07-08 09:54:00.464700;125335.0;125500.0;125090.0;125190.0;921276
2021-07-08 10:16:00.550530;125185.0;125465.0;124970.0;125355.0;1011541
2021-07-08 10:32:00.059670;125355.0;125835.0;125195.0;125805.0;1032200
2021-07-08 10:47:00.175230;125805.0;125805.0;125085.0;125160.0;1019271
2021-07-08 11:03:00.489670;125160.0;125510.0;125045.0;125315.0;1004002
2021-07-08 11:20:00.141470;125320.0;125410.0;124945.0;124945.0;1016997
2021-07-08 11:35:00.091470;124945.0;125170.0;124725.0;125090.0;982952
2021-07-08 11:51:00.568500;125090.0;125375.0;124880.0;125135.0;921544
