open;high;low;close;volume
2021-05-28 10:07:00.549100;124840.0;124880.0;124350.0;124550.0;1792905
2021-05-28 10:52:00.081700;124550.0;124825.0;124400.0;124825.0;2056865
2021-05-28 11:44:00.029930;124825.0;125020.0;124625.0;125020.0;2074565
2021-05-28 13:11:00.492600;125020.0;125320.0;124880.0;125260.0;2139414
2021-05-28 14:53:00.536270;125260.0;125710.0;125130.0;125550.0;2319715
2021-05-28 16:55:00.112370;125555.0;125880.0;125520.0;125760.0;2391692
2021-05-14 09:32:00.179730;125760.0;125800.0;121515.0;122100.0;1802149
2021-05-14 10:25:00.126970;122100.0;122355.0;121860.0;122220.0;1836317
2021-05-14 11:01:00.058270;122220.0;122475.0;121900.0;122125.0;1966310
2021-05-14 11:46:00.542570;122125.0;122375.0;121560.0;121800.0;2002425
2021-05-14 12:44:00.169600;121800.0;122050.0;121460.0;121505.0;1970668
2021-05-14 13:42:00.168600;121505.0;121935.0;121185.0;121600.0;1971823
2021-05-14 15:02:00.343070;121600.0;121775.0;121235.0;121535.0;2016829
2021-05-14 16:09:00.212100;121530.0;122300.0;121490.0;122020.0;2089910
2021-05-03 09:10:00.155600;122020.0;122180.0;119685.0;119705.0;1935432
2021-05-03 10:14:00.395330;119705.0;119820.0;119310.0;119590.0;1711583
2021-05-03 10:48:00.530830;119590.0;119940.0;119400.0;119740.0;1786975
2021-05-03 11:19:00.128870;119740.0;119945.0;119125.0;119940.0;1861113
2021-05-03 12:10:00.420800;119940.0;120335.0;119830.0;119905.0;1904270
2021-05-03 13:09:00.056630;119905.0;119920.0;118815.0;119015.0;2039519
2021-05-03 14:39:00.008000;119015.0;119235.0;118920.0;119140.0;2035051
2021-05-03 15:51:00.078900;119140.0;119800.0;119130.0;119800.0;2066011
2021-05-03 17:09:00.101630;119800.0;119985.0;119260.0;119470.0;2095508
2021-05-17 09:54:00.002470;119470.0;121680.0;119400.0;121675.0;1616563
2021-05-17 10:31:00.549870;121675.0;122425.0;121545.0;122395.0;1773885
2021-05-17 11:11:00.021970;122395.0;122520.0;122060.0;122295.0;1822247
2021-05-17 12:04:00.485500;122295.0;122715.0;122285.0;122510.0;1792802
2021-05-17 13:16:00.514630;122510.0;122565.0;122040.0;122140.0;1808623
2021-05-17 14:45:00.461100;122140.0;122585.0;122115.0;122480.0;1772400
2021-05-17 16:04:00.240970;122475.0;123285.0;122365.0;123205.0;1946760
2021-05-06 09:10:00.196630;123210.0;123370.0;119855.0;119940.0;1833079
2021-05-06 10:03:00.481670;119940.0;120260.0;119775.0;119785.0;1705576
2021-05-06 10:36:00.128470;119790.0;120255.0;119660.0;120110.0;1808090
2021-05-06 11:09:00.319400;120110.0;120315.0;119570.0;119665.0;1938209
2021-05-06 11:59:00.437000;119665.0;119755.0;119355.0;119670.0;2012118
