open;high;low;close;volume
2021-05-28 09:32:00.055670;124840.0;124880.0;124465.0;124605.0;832534
2021-05-28 10:07:00.549100;124605.0;124660.0;124350.0;124550.0;960371
2021-05-28 10:30:00.335030;124550.0;124685.0;124400.0;124425.0;984686
2021-05-28 10:52:00.081700;124430.0;124825.0;124405.0;124825.0;1072179
2021-05-28 11:17:00.582300;124825.0;124975.0;124695.0;124710.0;1025453
2021-05-28 11:44:00.029930;124710.0;125020.0;124625.0;125020.0;1049112
2021-05-28 12:21:00.037570;125020.0;125145.0;124880.0;125030.0;1021793
2021-05-28 13:11:00.492600;125035.0;125320.0;124990.0;125260.0;1117621
2021-05-28 14:15:00.033530;125260.0;125365.0;125130.0;125295.0;1119395
2021-05-28 14:53:00.536270;125295.0;125710.0;125275.0;125550.0;1200320
2021-05-28 15:51:00.066000;125555.0;125810.0;125520.0;125750.0;1171291
2021-05-28 16:55:00.112370;125750.0;125880.0;125680.0;125760.0;1220401
2021-05-14 09:04:00.001830;125760.0;125800.0;121515.0;121845.0;953460
2021-05-14 09:32:00.179730;121845.0;122160.0;121650.0;122100.0;848689
2021-05-14 10:00:00.284370;122100.0;122295.0;121860.0;122070.0;885310
2021-05-14 10:25:00.126970;122070.0;122355.0;122070.0;122220.0;951007
2021-05-14 10:44:00.132730;122220.0;122475.0;121990.0;122065.0;962530
2021-05-14 11:01:00.058270;122065.0;122455.0;121900.0;122125.0;1003780
2021-05-14 11:25:00.359770;122125.0;122375.0;121980.0;122220.0;1000540
2021-05-14 11:46:00.542570;122220.0;122225.0;121560.0;121800.0;1001885
2021-05-14 12:14:00.026730;121800.0;121980.0;121540.0;121725.0;977398
2021-05-14 12:44:00.169600;121720.0;122050.0;121460.0;121505.0;993270
2021-05-14 13:08:00.438970;121505.0;121935.0;121185.0;121385.0;989986
2021-05-14 13:42:00.168600;121385.0;121680.0;121295.0;121600.0;981837
2021-05-14 14:23:00.450070;121600.0;121775.0;121450.0;121555.0;1011129
2021-05-14 15:02:00.343070;121555.0;121630.0;121235.0;121535.0;1005700
2021-05-14 15:35:00.468630;121530.0;122035.0;121490.0;121885.0;1018254
2021-05-14 16:09:00.212100;121885.0;122300.0;121885.0;122020.0;1071656
2021-05-14 16:52:00.088670;122020.0;122150.0;121800.0;122060.0;1090126
2021-05-03 09:10:00.155600;122060.0;122180.0;119685.0;119705.0;845306
2021-05-03 09:52:00.119100;119705.0;119820.0;119520.0;119695.0;836561
2021-05-03 10:14:00.395330;119695.0;119720.0;119310.0;119590.0;875022
2021-05-03 10:33:00.068770;119590.0;119790.0;119465.0;119465.0;892902
2021-05-03 10:48:00.530830;119465.0;119940.0;119400.0;119740.0;894073
2021-05-03 11:01:00.483370;119740.0;119835.0;119125.0;119415.0;950083
2021-05-03 11:19:00.128870;119420.0;119945.0;119385.0;119940.0;911030
2021-05-03 11:42:00.165900;119940.0;120335.0;119905.0;120315.0;961388
2021-05-03 12:10:00.420800;120315.0;120320.0;119830.0;119905.0;942882
2021-05-03 12:41:00.234600;119905.0;119920.0;119285.0;119405.0;1011809
2021-05-03 13:09:00.056630;119405.0;119415.0;118815.0;119015.0;1027710
2021-05-03 13:57:00.467930;119015.0;119235.0;118955.0;119165.0;972181
2021-05-03 14:39:00.008000;119165.0;119215.0;118920.0;119140.0;1062870
2021-05-03 15:16:00.075000;119140.0;119505.0;119130.0;119330.0;1034277
2021-05-03 15:51:00.078900;119325.0;119800.0;119160.0;119800.0;1031734
2021-05-03 16:25:00.425530;119800.0;119985.0;119365.0;119380.0;1061723
2021-05-03 17:09:00.101630;119380.0;119630.0;119260.0;119470.0;1033785
2021-05-17 09:13:00.557070;119470.0;121680.0;119400.0;121425.0;802354
2021-05-17 09:54:00.002470;121425.0;121675.0;121355.0;121675.0;814209
2021-05-17 10:13:00.348600;121675.0;122195.0;121545.0;122135.0;877913
2021-05-17 10:31:00.549870;122135.0;122425.0;122080.0;122395.0;895972
2021-05-17 10:51:00.342970;122395.0;122520.0;122225.0;122280.0;894874
2021-05-17 11:11:00.021970;122280.0;122450.0;122060.0;122295.0;927373
2021-05-17 11:33:00.055070;122295.0;122715.0;122285.0;122470.0;885605
2021-05-17 12:04:00.485500;122470.0;122695.0;122445.0;122510.0;907197
2021-05-17 12:36:00.106670;122510.0;122565.0;122215.0;122455.0;893697
2021-05-17 13:16:00.514630;122460.0;122510.0;122040.0;122140.0;914926
2021-05-17 14:02:00.083230;122140.0;122475.0;122115.0;122445.0;887589
2021-05-17 14:45:00.461100;122445.0;122585.0;122300.0;122480.0;884811
2021-05-17 15:32:00.084570;122475.0;122770.0;122365.0;122750.0;922089
2021-05-17 16:04:00.240970;122750.0;123285.0;122680.0;123205.0;1024671
2021-05-17 16:55:00.126200;123210.0;123370.0;123080.0;123155.0;998434
2021-05-06 09:10:00.196630;123155.0;123270.0;119855.0;119940.0;834645
2021-05-06 09:47:00.142600;119940.0;120075.0;119800.0;119940.0;823031
2021-05-06 10:03:00.481670;119935.0;120260.0;119775.0;119785.0;882545
2021-05-06 10:20:00.211030;119790.0;120095.0;119660.0;119990.0;901491
2021-05-06 10:36:00.128470;119990.0;120255.0;119895.0;120110.0;906599
2021-05-06 10:52:00.396170;120110.0;120315.0;119795.0;119795.0;971984
2021-05-06 11:09:00.319400;119795.0;119845.0;119570.0;119665.0;966225
2021-05-06 11:28:00.162070;119665.0;119735.0;119355.0;119385.0;962313
2021-05-06 11:59:00.437000;119385.0;119755.0;119360.0;119670.0;1049805
2021-05-06 12:33:00.386900;119675.0;119835.0;119545.0;119750.0;1003799
2021-05-06 13:10:00.426030;119750.0;119910.0;119555.0;119640.0;1021238
